Pauli Operators,Coefficient,Expectation Values
IIIIIIII,1.528021059,1
 IIIIIIIZ,-0.272215257,-0.981762299
 IIIIIYZY,0.088122943,0.00481971
 IIIIIXZX,0.088122943,0.004774325
 IIIIIIZI,-0.405168898,0.985583925
 IIIIYZYI,-0.052063681,-0.008404339
 IIIIXZXI,-0.052063681,0.000318575
 IIIIIZII,-0.689359603,0.999980925
 IIIIZIII,-1.042222589,0.996118121
 IIIZIIII,-0.272215257,-0.981775407
 IYZYIIII,0.088122943,0.000738778
 IXZXIIII,0.088122943,0.000742487
 IIZIIIII,-0.405168898,0.989805272
 YZYIIIII,-0.052063681,-0.012260173
 XZXIIIII,-0.052063681,-0.000854413
 IZIIIIII,-0.689359603,0.99999114
 ZIIIIIII,-1.042222589,0.991886348
 IIIIIIZZ,0.088522062,-0.996097121
 IIIIYZYZ,0.016033306,0.000318636
 IIIIXZXZ,0.016033306,-0.00840457
 IIIIIYIY,-0.017356001,0.004756379
 IIIIIXIX,-0.017356001,0.004837816
 IIIIYXXY,-0.012970529,-0.0000104
 IIIIYYYY,-0.015318666,-0.00000386
 IIIIXXYY,-0.002348137,-0.0000109
 IIIIYYXX,-0.002348137,0.0000109
 IIIIXXXX,-0.015318666,0.00000387
 IIIIXYYX,-0.012970529,0.0000103
 IIIIIZIZ,0.105719993,-0.98177397
 IIIIZIIZ,0.131799345,-0.985568804
 IIIIZYZY,-0.019831905,0.004836889
 IIIIZXZX,-0.019831905,0.004757515
 IIIZIIIZ,0.163024616,0.999977942
 IIIZIYZY,-0.041977055,-0.004773064
 IIIZIXZX,-0.041977055,-0.004820723
 IIYYIIYY,0.01986208,-0.142348599
 IIXXIIYY,0.01986208,-0.141281696
 IIYYIIXX,0.01986208,-0.141807693
 IIXXIIXX,0.01986208,-0.141821683
 IIYYYZZY,-0.019808855,-0.000163074
 IIXXYZZY,-0.019808855,-0.0000975
 IIYYXZZX,-0.019808855,0.001022774
 IIXXXZZX,-0.019808855,-0.0000458
 IYZYIIIZ,-0.041977055,-0.000743405
 IXZXIIIZ,-0.041977055,-0.000737972
 IYZYIYZY,0.02740727,0.0000128
 IXZXIYZY,0.02740727,0.0000123
 IYZYIXZX,0.02740727,0.0000125
 IXZXIXZX,0.02740727,0.0000126
 YZZYIIYY,-0.019808855,0.091299375
 XZZXIIYY,-0.019808855,0.092112565
 YZZYIIXX,-0.019808855,0.090919257
 XZZXIIXX,-0.019808855,0.091729934
 YZZYYZZY,0.034557696,-0.087511512
 XZZXYZZY,0.034557696,-0.086633904
 YZZYXZZX,0.034557696,-0.087033129
 XZZXXZZX,0.034557696,-0.08791507
 IIZIIIIZ,0.108384141,-0.991868194
 IIZIIYZY,-0.012405452,0.004774816
 IIZIIXZX,-0.012405452,0.004819175
 IYYIIIYY,-0.004950549,-0.000239913
 IXXIIIYY,-0.004950549,0.00012934
 IYYIIIXX,-0.004950549,-0.000238196
 IXXIIIXX,-0.004950549,0.000130916
 IYYIYZZY,-0.005280925,-0.000000461
 IXXIYZZY,-0.005280925,-0.00000125
