iter	Passed	Remaining
0	55	55493
1	58	29397
2	62	20699
3	65	16349
4	68	13666
5	71	11907
6	74	10607
7	76	9518
8	78	8633
9	79	7902
10	81	7309
11	82	6810
12	83	6367
13	85	5988
14	86	5659
15	87	5368
16	88	5102
17	89	4883
18	90	4674
19	91	4483
20	92	4304
21	93	4141
22	93	3991
23	94	3855
24	95	3739
25	97	3634
26	97	3524
27	98	3419
28	99	3324
29	100	3235
30	100	3151
31	101	3073
32	102	3000
33	103	2930
34	103	2864
35	104	2801
36	105	2743
37	106	2686
38	106	2634
39	107	2583
40	108	2537
41	109	2493
42	110	2457
43	111	2416
44	112	2377
45	112	2340
46	113	2309
47	114	2274
48	115	2241
49	116	2209
50	117	2186
51	118	2165
52	119	2136
53	120	2112
54	121	2084
55	122	2057
56	122	2031
57	123	2008
58	125	1997
59	126	1975
60	126	1952
61	127	1930
62	128	1910
63	129	1889
64	130	1870
65	130	1850
66	132	1839
67	133	1834
68	134	1817
69	135	1798
70	136	1780
71	136	1764
72	137	1747
73	138	1730
74	139	1717
75	139	1701
76	140	1686
77	141	1671
78	142	1656
79	142	1642
80	143	1628
81	144	1615
82	144	1601
83	145	1590
84	146	1578
85	147	1569
86	148	1557
87	149	1546
88	149	1534
89	150	1523
90	151	1512
91	152	1501
92	152	1490
93	153	1479
94	154	1469
95	154	1458
96	155	1449
97	156	1439
98	157	1430
99	158	1422
100	158	1413
101	159	1404
102	160	1395
103	160	1386
104	161	1380
105	163	1379
106	164	1376
107	165	1368
108	166	1360
109	167	1352
110	167	1345
111	168	1337
112	169	1330
113	170	1322
114	170	1315
115	171	1308
116	172	1301
117	173	1294
118	173	1287
119	174	1281
120	175	1277
121	176	1271
122	179	1277
123	180	1273
124	181	1267
125	181	1261
126	182	1254
127	183	1248
128	184	1242
129	184	1236
130	185	1230
131	186	1224
132	186	1218
133	187	1213
134	188	1209
135	189	1204
136	191	1205
137	192	1201
138	194	1205
139	195	1200
140	196	1196
141	197	1192
142	198	1187
143	199	1184
144	200	1182
145	201	1181
146	203	1178
147	204	1174
148	204	1170
149	206	1167
150	208	1170
151	209	1166
152	209	1162
153	210	1157
154	211	1153
155	212	1149
156	213	1145
157	214	1140
158	215	1137
159	215	1133
160	216	1129
161	217	1126
162	218	1122
163	219	1118
164	220	1114
165	221	1112
166	222	1112
167	223	1108
168	224	1104
169	225	1101
170	226	1098
171	227	1094
172	227	1089
173	228	1084
174	229	1080
175	229	1076
176	230	1072
177	231	1067
178	231	1062
179	232	1058
180	233	1054
181	233	1049
182	234	1045
183	234	1041
184	236	1039
185	237	1039
186	238	1036
187	239	1033
188	240	1030
189	240	1026
190	241	1023
191	242	1020
192	243	1017
193	244	1014
194	244	1010
195	245	1006
196	245	1002
197	246	998
198	247	995
199	247	991
200	248	987
201	249	984
202	249	981
203	251	979
204	253	981
205	253	978
206	254	975
207	255	973
208	256	971
209	257	968
210	258	965
211	259	962
212	259	959
213	260	956
214	261	954
215	262	951
216	262	948
217	263	945
218	264	942
219	265	939
220	266	939
221	267	937
222	268	935
223	269	932
224	269	929
225	270	926
226	271	924
227	272	921
228	273	919
229	274	917
230	274	914
231	275	912
232	276	909
233	277	907
234	278	905
235	278	902
236	279	901
237	281	900
238	282	899
239	283	897
240	284	894
241	284	891
242	285	889
243	286	886
244	287	884
245	288	882
246	288	880
247	289	878
248	290	875
249	291	873
250	291	871
251	292	868
252	293	866
253	294	864
254	295	862
255	296	862
256	297	860
257	298	858
258	299	856
259	300	855
260	301	853
261	302	850
262	302	848
263	303	846
264	305	846
265	305	844
266	306	842
267	307	839
268	308	837
269	308	835
270	309	833
271	312	836
272	313	835
273	314	833
274	315	832
275	316	830
276	317	827
277	317	825
278	318	823
279	319	821
280	320	819
281	320	817
282	321	815
283	322	813
284	323	810
285	323	808
286	327	812
287	328	810
288	328	808
289	329	805
290	329	803
291	330	800
292	330	798
293	331	796
294	332	794
295	332	791
296	333	790
297	334	788
298	335	786
299	336	784
300	336	782
301	337	780
302	338	778
303	339	776
304	339	774
305	340	772
306	341	770
307	342	768
308	343	767
309	343	765
310	344	763
311	345	761
312	345	759
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	351	745
320	351	744
321	352	742
322	353	740
323	354	738
324	354	736
325	355	735
326	356	733
327	356	731
328	357	729
329	358	727
330	359	725
331	359	724
332	360	722
333	361	720
334	362	718
335	362	717
336	363	715
337	364	713
338	365	711
339	365	710
340	366	708
341	367	706
342	368	705
343	368	703
344	369	701
345	370	699
346	371	698
347	371	696
348	372	694
349	373	693
350	374	691
351	374	690
352	375	688
353	376	686
354	378	688
355	379	686
356	380	684
357	381	683
358	381	681
359	382	679
360	383	678
361	383	676
362	384	674
363	385	673
364	386	671
365	386	670
366	387	668
367	388	667
368	389	665
369	389	663
370	390	661
371	391	660
372	391	658
373	392	657
374	394	657
375	395	655
376	396	654
377	396	652
378	397	651
379	398	649
380	399	648
381	399	646
382	400	645
383	401	644
384	402	642
385	403	641
386	403	639
387	404	638
388	405	636
389	406	635
390	407	634
391	407	632
392	408	631
393	409	629
394	410	628
395	410	626
396	411	624
397	412	623
398	412	621
