iter	RMSE
0	0.2801867955
1	0.2794083631
2	0.2786468907
3	0.2778705549
4	0.2776432809
5	0.2766700006
6	0.2755537992
7	0.2750279952
8	0.2743585914
9	0.2739249634
10	0.2730125047
11	0.272452461
12	0.2717859763
13	0.271103314
14	0.2704189385
15	0.2699783243
16	0.2693485805
17	0.2678885075
18	0.2675144987
19	0.2671340206
20	0.2664976885
21	0.2660498582
22	0.2654682115
23	0.2647972734
24	0.2644329134
25	0.2638778058
26	0.2634107261
27	0.262954926
28	0.2624612297
29	0.2611877723
30	0.2608127807
31	0.2596405858
32	0.25919307
33	0.2586060321
34	0.2579004442
35	0.25750554
36	0.2571608589
37	0.2568711959
38	0.2564348455
39	0.2560649364
40	0.2555416717
41	0.2550140045
42	0.2543423866
43	0.2540738733
44	0.2532131685
45	0.2528186759
46	0.2523704944
47	0.2517359586
48	0.2513146013
49	0.25096165
50	0.2504440604
51	0.2499533087
52	0.2491339501
53	0.2482511048
54	0.2478640352
55	0.2475465756
56	0.2472766733
57	0.2467848077
58	0.2461659383
59	0.24535147
60	0.2446865916
61	0.2440139261
62	0.2435007284
63	0.2428936167
64	0.2417520949
65	0.2414584612
66	0.2410113614
67	0.2406526164
68	0.2402940912
69	0.2399204538
70	0.2395082272
71	0.2390946998
72	0.2387852441
73	0.2384752364
74	0.2381796282
75	0.2377506474
76	0.237359208
77	0.2369454556
78	0.2365433168
79	0.2361378819
80	0.2353715802
81	0.2350876405
82	0.2345614364
83	0.2342114693
84	0.2339041491
85	0.2333657338
86	0.2330332571
87	0.2327402729
88	0.2324693751
89	0.2318571042
90	0.2315280206
91	0.2305967519
92	0.2301120512
93	0.2298641316
94	0.2294687637
95	0.228981896
96	0.2286361223
97	0.2282867465
98	0.2280754869
99	0.2274188737
100	0.2271270524
101	0.226815498
102	0.226497562
103	0.2261269708
104	0.2256551094
105	0.2253131972
106	0.22452837
107	0.2241569693
108	0.2233309914
109	0.2231091917
110	0.2221761506
111	0.2220181799
112	0.2216720952
113	0.2213455884
114	0.2206835657
115	0.2205051908
116	0.2202636012
117	0.2200013688
118	0.2195509585
119	0.2193414023
120	0.2191006881
121	0.2189204324
122	0.2184524272
123	0.218301589
124	0.2181330506
125	0.2170522695
126	0.2167034808
127	0.2164617383
128	0.2159944588
129	0.2154990804
130	0.2152745873
131	0.2147620906
132	0.2145946294
133	0.2143423185
134	0.2138539281
135	0.2136579064
136	0.2129892168
137	0.212776223
138	0.2125023334
139	0.2123193951
140	0.210759487
141	0.2104308493
142	0.2102451799
143	0.2100426897
144	0.2097814139
145	0.2091969268
146	0.2081687892
147	0.2073810396
148	0.2070643378
149	0.2066872278
150	0.2064398101
151	0.2061614947
152	0.2052395112
153	0.2050014247
154	0.2046585495
155	0.2044160351
156	0.2040805447
157	0.2029248507
158	0.2021037467
159	0.2017408762
160	0.2013813606
161	0.2011498281
162	0.2007960155
163	0.2003616744
164	0.2001209269
165	0.1998802842
166	0.1995760047
167	0.1977653951
168	0.1974865867
169	0.1972254779
170	0.1968632878
171	0.1966198005
172	0.1963399732
173	0.1960982285
174	0.1957891598
175	0.1954595244
176	0.1952414842
177	0.1949959876
178	0.19472713
179	0.194409332
180	0.1938278389
181	0.1919487545
182	0.1916442807
183	0.191324932
184	0.190927837
