iter	RMSE
0	0.2154360009
1	0.2146263634
2	0.2139854143
3	0.2126407989
4	0.2121231907
5	0.2116536385
6	0.2110899416
7	0.2106727315
8	0.2101717687
9	0.2091162463
10	0.2084393169
11	0.2079318713
12	0.2063443944
13	0.2060215182
14	0.2052271336
15	0.2045930905
16	0.2039333943
17	0.2034171776
18	0.2029807977
19	0.2023015426
20	0.2018180091
21	0.2013323968
22	0.2008205516
23	0.2003726504
24	0.1994881309
25	0.198922829
26	0.1983440971
27	0.1980159923
28	0.1976187359
29	0.1971702484
30	0.1965057412
31	0.195841006
32	0.1953542723
33	0.1949621662
34	0.1944872887
35	0.1942261063
36	0.1932815717
37	0.1926608411
38	0.1923424328
39	0.1920979732
40	0.1919086944
41	0.1910799225
42	0.1907996743
43	0.1903596009
44	0.1900866989
45	0.1899009296
46	0.1895689742
47	0.1891878093
48	0.1888015369
49	0.1882378295
50	0.1881031713
51	0.1878645956
52	0.1870690255
53	0.1867158109
54	0.1865757088
55	0.1861643703
56	0.1855266999
57	0.1853440921
58	0.1844801808
59	0.1837867484
60	0.182944197
61	0.1823425228
62	0.1819966224
63	0.1817057465
64	0.1805022427
65	0.1801541879
66	0.1792675138
67	0.1783023695
68	0.1781034258
69	0.1778890737
70	0.1773963668
71	0.177156702
72	0.1769803562
73	0.1768129997
74	0.1761036134
75	0.1754765195
76	0.1751950041
77	0.1749810755
78	0.1746713846
79	0.1743734575
80	0.1740255017
81	0.1739145119
82	0.1735996149
83	0.1734306387
84	0.1728976345
85	0.1726531477
86	0.1724592387
87	0.1719983742
88	0.1716946097
89	0.1713765946
90	0.1710357809
91	0.1705353886
92	0.1701582561
93	0.1696065262
94	0.1694282229
95	0.1692309472
96	0.1690529807
97	0.1689095716
98	0.1683041416
99	0.1679694835
100	0.1678231835
101	0.1674870045
102	0.1672299939
103	0.1661113955
104	0.1658612449
105	0.1653474192
106	0.1643509076
107	0.1640695178
108	0.1638251282
109	0.1633610399
110	0.1631564688
111	0.1630265515
112	0.1628355896
113	0.1624484808
114	0.1623317085
115	0.1619697619
116	0.1617709546
117	0.1614822002
118	0.1612583324
119	0.1604307179
120	0.1600571767
121	0.1598079206
122	0.1590632256
123	0.1587277251
124	0.1584908942
125	0.1582013687
126	0.1578315057
127	0.1575604788
128	0.1572498481
129	0.1570259683
130	0.1568059298
131	0.1564338226
132	0.1560706073
133	0.1558220516
134	0.1553150448
135	0.1550904448
136	0.1547615577
137	0.1545394573
138	0.154272222
139	0.1540155507
140	0.1538268728
141	0.1536003929
142	0.1533123225
143	0.1529407719
144	0.1527223912
145	0.1524842672
146	0.1522581156
147	0.1519683168
148	0.1518079697
149	0.1512802279
150	0.151067099
151	0.1508962354
152	0.1506681354
153	0.1504267719
154	0.1501026297
155	0.1498921483
156	0.1496613563
157	0.1494433542
158	0.1491821879
159	0.1488839752
160	0.1485485208
161	0.1482982172
162	0.1479689862
163	0.1475156122
164	0.1473424426
165	0.1470165841
166	0.1466485577
167	0.1463876939
168	0.1460414096
169	0.1452823375
170	0.1449396058
171	0.1447327554
172	0.1444760556
173	0.1442182736
174	0.143954512
175	0.1436361715
176	0.1433241228
177	0.1423584246
178	0.1421445192
179	0.1418389547
180	0.1415888065
181	0.1413335585
182	0.1410009738
183	0.1405052823
184	0.1402074757
185	0.139850727
186	0.139584919
187	0.1392977768
188	0.1387924043
189	0.1385423211
